module_code,phytocore_code,module_name,registry_match,xlsx_axes,md_primary,md_secondary,md_all,xlsx_vs_md,only_in_xlsx,only_in_md,suggested_union,md_file_count,dose,contraindications,needs_review,raw_axis_text
H-001,TSPI-CURCUMA-01,Curcuma Capsules,Curcuma Capsules,A1;A9;A16;A17;A18;A19;A21;A25;A27,A1;A9;A16;A17;A18;A19;A21;A25;A27,,A1;A9;A16;A17;A18;A19;A21;A25;A27,AGREE,,,A1;A9;A16;A17;A18;A19;A21;A25;A27,1,"Take 2-4 capsules (500 mg) 3-4 times daily. It is recommended to take them before meals or on an empty stomach, as the h",A risk score of 2/10 suggests caution should be exercised in individuals taking anticoagulants or anticoagulant medications.,,Axis 1 – Systemic Inflammatory Load Axis 9 – Oxidative Stress Regulation Axis 16 – Liver Detoxification Axis 17 – Digestive Function Axis 18 – Microbiome Ecology Axis 19 – Gut Barrier Integrity Axis 21 – Endothelial Function Axis 25 – Tissue Repair Axis 27 – Metabolic Balance
H-003,TSPI-ABSORN-03,ABSORN CAPSULE,ABSORN CAPSULE,A1;A9;A21;A22;A25;A27;A29;A33;A34;A36,A1;A9;A21;A22;A25;A27;A29;A33;A34;A36,,A1;A9;A21;A22;A25;A27;A29;A33;A34;A36,AGREE,,,A1;A9;A21;A22;A25;A27;A29;A33;A34;A36,1,Take 2-4 capsules (500 mg) 3-4 times daily before meals or on an empty stomach to enhance absorption of the active ingre,A risk score of 3/10 suggests caution in individuals using anticoagulants or hormonal therapy.,,Axis 1 — Systemic inflammatory load Axis 9 — Oxidative stress regulation Axis 21 — Endothelial function Axis 22 — Microcirculation Axis 25 — Tissue repair Axis 27 — Hormonal balance Axis 29 — Reproductive system Axis 33 — Nervous system regulation Axis 34 — Neuroendocrine regulation increase Oncolog
H-004,TSPI-DERRIS-SCANDENS-04,COMPOUND DERRIS SCANDENS CAPSULE,COMPOUND DERRIS SCANDENS CAPSULE,A1;A9;A21;A22;A25;A27;A30;A31;A33;A36,A1;A9;A21;A22;A25;A27;A30;A31;A33;A36,,A1;A9;A21;A22;A25;A27;A30;A31;A33;A36,AGREE,,,A1;A9;A21;A22;A25;A27;A30;A31;A33;A36,1,Take 2-4 capsules (500 mg) 3-4 times daily before meals or on an empty stomach to enhance absorption of the active ingre,Risk score 2/10: Caution advised for users of NSAIDs and anticoagulants.,,Axis 1 — Systemic inflammatory load Axis 9 — Oxidative stress regulation Axis 21 — Endothelial function Axis 22 — Microcirculation Axis 25 — Tissue repair Axis 30 — Musculoskeletal system Axis 31 — Connective tissue integrity Axis 33 — Nervous system pain modulation Axis 27 — Metabolic balance Oncol
H-005,TSPI-DERRIS-VELVET-05,COMPOUND DERRIS VELVET CAPSULE,COMPOUND DERRIS VELVET CAPSULE,A2;A7;A9;A21;A22;A25;A27;A30;A33;A35;A36,A2;A7;A9;A21;A22;A25;A27;A30;A33;A35;A36,,A2;A7;A9;A21;A22;A25;A27;A30;A33;A35;A36,AGREE,,,A2;A7;A9;A21;A22;A25;A27;A30;A33;A35;A36,1,"2-4 capsules (500 mg) 3-4 times daily, before meals or on an empty stomach.",A risk score of 3/10 suggests caution in patients using immunosuppressants and chemotherapy.,,Axis 2 — Immune homeostasis Axis 7 — Mitochondrial energy production Axis 9 — Oxidative stress regulation Axis 21 — Endothelial function Axis 22 — Microcirculation Axis 25 — Tissue repair Axis 27 — Hormonal balance Axis 30 — Musculoskeletal system Axis 33 — Nervous system regulation Axis 35 — Longev
H-006,TSPI-BUTEA-06,BUTEA SUPERBA CAPSULE,BUTEA SUPERBA CAPSULE,A9;A21;A22;A27;A30;A33;A35,A9;A21;A22;A27;A30;A33;A35,A7,A7;A9;A21;A22;A27;A30;A33;A35,PARTIAL,,A7,A7;A9;A21;A22;A27;A30;A33;A35,3,"2-4 capsules (500 mg) 3-4 times daily, before meals or on an empty stomach.",Risk score 3/10. Caution should be exercised in users of nitrate drugs and antihypertensive drugs.,,Axis 21 — Endothelial function Axis 22 — Microcirculation Axis 27 — Hormonal balance Axis 30 — Musculoskeletal system Axis 33 — Nervous system regulation Axis 35 — Sexual function Axis 9 — Oxidative stress regulation
H-007,TSPI-BENCHAKUL-07,BENCHAKUL CAPSULE,BENCHAKUL CAPSULE,A9;A16;A17;A18;A19;A21;A24;A27;A28;A39,A9;A16;A17;A18;A19;A21;A24;A27;A28;A39,,A9;A16;A17;A18;A19;A21;A24;A27;A28;A39,AGREE,,,A9;A16;A17;A18;A19;A21;A24;A27;A28;A39,1,"2-4 capsules (500 mg) 3-4 times daily, before meals or on an empty stomach.",Risk score 2/10. Caution should be exercised in users of anticoagulants and antidiabetic drugs.,,Axis 17 — Digestive function Axis 18 — Microbiome ecology Axis 19 — Gut barrier integrity Axis 16 — Detoxification Axis 27 — Metabolic balance Axis 28 — Glucose metabolism Axis 24 — Insulin sensitivity Axis 21 — Endothelial function Axis 9 — Oxidative stress regulation                               
H-008,TSPI-YAVETCHAKORN-06,YAVETCHAKORN NO.6 CAPSULE,YAVETCHAKORN NO.6 CAPSULE,A2;A9;A17;A21;A22;A27;A33;A34;A35;A39,A2;A9;A17;A21;A22;A27;A33;A34;A35;A39,,A2;A9;A17;A21;A22;A27;A33;A34;A35;A39,AGREE,,,A2;A9;A17;A21;A22;A27;A33;A34;A35;A39,1,"As per your previously prescribed regimen, take 2–4 capsules (500 mg/capsule) 3–4 times daily, before meals or on an emp","Risk score: 2.5/10. Caution should be exercised in individuals using sleeping pills, anti-anxiety medications, sedatives, or medications tha",,Axis 9 – Oxidative stress regulation Axis 17 – Digestive function Axis 21 – Endothelial function Axis 22 – Microcirculation Axis 33 – Nervous system regulation Axis 34 – Neuroendocrine regulation Axis 35 – Sleep / restoration axis Axis 2 – Immune homeostasis (indirectly through stress regulation) Ax
H-009,TSPI-HORENYIN-09,HO REN YIN MIXTURE,HO REN YIN MIXTURE,A2;A21;A22;A27;A29;A33;A35,A1;A4;A5;A8;A9;A11;A13;A14;A18;A21;A22;A23;A24;A26;A27;A28;A29;A31;A32;A33;A34;A35,A2;A28;A29;A30;A34;A35,A1;A2;A4;A5;A8;A9;A11;A13;A14;A18;A21;A22;A23;A24;A26;A27;A28;A29;A30;A31;A32;A33;A34;A35,PARTIAL,,A1;A4;A5;A8;A9;A11;A13;A14;A18;A23;A24;A26;A28;A30;A31;A32;A34,A1;A2;A4;A5;A8;A9;A11;A13;A14;A18;A21;A22;A23;A24;A26;A27;A28;A29;A30;A31;A32;A33;A34;A35,5,"2-4 capsules (500 mg) 3-4 times daily, before meals or on an empty stomach.",Risk score 3/10. Caution should be exercised in users of anticoagulants and hormonal drugs.,,Axis 2 — Immune homeostasis Axis 21 — Endothelial function Axis 22 — Microcirculation Axis 27 — Hormonal balance Axis 29 — Reproductive system Axis 33 — Nervous system regulation Axis 35 — Longevity regeneration
H-010,TSPI-MOMORDICA-010,MOMORDICA CHARANTIA CAPSULE,MOMORDICA CHARANTIA CAPSULE,A9;A18;A19;A21;A24;A27;A28,A9;A18;A19;A21;A24;A27;A28,,A9;A18;A19;A21;A24;A27;A28,AGREE,,,A9;A18;A19;A21;A24;A27;A28,1,"2-4 capsules (500 mg) 3-4 times daily, before meals or on an empty stomach.",Risk score 3/10. Caution should be exercised in users of insulin and oral antidiabetic drugs.,,Axis 24 — Insulin sensitivity Axis 27 — Metabolic balance Axis 28 — Glucose metabolism Axis 18 — Microbiome ecology Axis 19 — Gut barrier integrity Axis 9 — Oxidative stress regulation Axis 21 — Endothelial function
H-011,TSPI-WATTANOTHAI-011,WATTANOTHAI CAPSULE,WATTANOTHAI CAPSULE,A9;A16;A17;A18;A19;A21;A27,,,,XLSX_ONLY(no md),A9;A16;A17;A18;A19;A21;A27,,A9;A16;A17;A18;A19;A21;A27,0,"2-4 capsules (500 mg) 3-4 times daily, before meals or on an empty stomach.",Risk score 2/10,,Axis 17 — Digestive function Axis 18 — Microbiome ecology Axis 19 — Gut barrier integrity Axis 16 — Hepatobiliary detoxification Axis 21 — Endothelial function Axis 9 — Oxidative stress regulation Axis 27 — Metabolic balance
H-012,TSPI-YHATEENNOK-012,COMPOUND YHATEENNOK CAPSULE,GARCINIA,A1;A9;A21;A22;A27;A32;A33,A1;A2;A5;A9;A18;A19;A21;A31,A7;A14,A1;A2;A5;A7;A9;A14;A18;A19;A21;A31,PARTIAL,A22;A27;A32;A33,A2;A5;A7;A14;A18;A19;A31,A1;A2;A5;A7;A9;A14;A18;A19;A21;A22;A27;A31;A32;A33,2,"2-4 capsules (500 mg) 3-4 times daily, before meals or on an empty stomach.",3/10 Caution should be exercised in users of blood pressure lowering medications and vasodilators.,,Axis 1 — Systemic inflammatory load Axis 9 — Oxidative stress regulation Axis 21 — Endothelial function Axis 22 — Microcirculation Axis 27 — Autonomic balance Axis 32 — Cardiovascular system Axis 33 — Nervous system regulation
H-013,TSPI-STOMMA-013,STOMMA CAPSULE,STOMMA CAPSULE,A1;A9;A16;A17;A18;A19,A1;A9;A16;A17;A18;A19,A1,A1;A9;A16;A17;A18;A19,AGREE,,,A1;A9;A16;A17;A18;A19,4,"2-4 capsules (500 mg) 3-4 times daily, before meals or on an empty stomach.",2026-10-02 00:00:00,,Axis 17 — Digestive function Axis 18 — Microbiome ecology Axis 19 — Gut barrier integrity Axis 1 — Systemic inflammatory load Axis 9 — Oxidative stress regulation Axis 16 — Hepatobiliary detoxification
H-014,TSPI-RIDSI-014,RID-SI CAPSULE,RID-SI CAPSULE,A1;A9;A21;A22;A25;A26;A31,A1;A9;A21;A22;A24;A25;A26;A31,A25,A1;A9;A21;A22;A24;A25;A26;A31,PARTIAL,,A24,A1;A9;A21;A22;A24;A25;A26;A31,5,"2-4 capsules (500 mg) 3-4 times daily, before meals or on an empty stomach.",2026-10-02 00:00:00,,Axis 1 – Systemic inflammatory load Axis 9 – Oxidative stress regulation Axis 21 – Endothelial function Axis 22 – Microcirculation Axis 25 – Wound healing Axis 26 – ECM remodeling Axis 31 – Connective tissue integrity
H-012,TSPI-GARCINIA-012,GARCINIA,GARCINIA,A1;A2;A9;A18;A19;A21;A31,A1;A2;A5;A9;A18;A19;A21;A31,A7;A14,A1;A2;A5;A7;A9;A14;A18;A19;A21;A31,PARTIAL,,A5;A7;A14,A1;A2;A5;A7;A9;A14;A18;A19;A21;A31,2,2-4 capsules (500 mg) 3-4 times daily before meals.,Risk score 2/10,,Axis 1 — Systemic inflammatory load Axis 9 — Oxidative stress regulation Axis 18 — Microbiome ecology Axis 19 — Gut barrier integrity Axis 2 — Immune homeostasis Axis 31 — Skin health Axis 21 — Endothelial function
H-013,TSPI-HOUTTUYNIA-013,HOUTTUYNIA CORDATA CAPSULE,STOMMA CAPSULE,A1;A2;A3;A9;A18;A19;A21,A1;A9;A16;A17;A18;A19,A1,A1;A9;A16;A17;A18;A19,PARTIAL,A2;A3;A21,A16;A17,A1;A2;A3;A9;A16;A17;A18;A19;A21,4,"2-4 capsules (500 mg) 3-4 times daily, before meals or on an empty stomach.",Risk score 2/10,,Axis 2 — Immune homeostasis Axis 1 — Systemic inflammatory load Axis 18 — Microbiome ecology Axis 19 — Gut barrier integrity Axis 3 — Pathogen defense Axis 9 — Oxidative stress regulation Axis 21 — Endothelial function
