legacy_display_id,network_number,network_code_candidate,network_name_en,axis_label_from_file,suggested_axis_code,suggested_axis_name,axis_confidence,CONFIRM_axis_code,derived_domain_code,derived_domain_name,(domain auto-derives from CONFIRM_axis),scope
N001,1,LBN-001,NF-κB Inflammatory Switch Network,Systemic Inflammatory Load,A1,Systemic Inflammatory Load,1.0,,D1,Immune–Infection Governance,derived,ควบคุมการเปิดสัญญาณอักเสบหลัก
N002,2,LBN-002,Cytokine Burden Network,Systemic Inflammatory Load,A1,Systemic Inflammatory Load,1.0,,D1,Immune–Infection Governance,derived,"IL-6, TNF-α, IL-1β, CRP"
N003,3,LBN-003,Acute Inflammatory Response Network,Acute–Chronic Inflammation,,,0.0,,,,derived,การอักเสบเฉียบพลันเพื่อป้องกันภัย
N004,4,LBN-004,Chronic Low-Grade Inflammation Network,Acute–Chronic Inflammation,,,0.0,,,,derived,การอักเสบเรื้อรังระดับต่ำ
N005,5,LBN-005,Innate Immune Surveillance Network,Immune Surveillance,A2,Immune Homeostasis,0.33,,D1,Immune–Infection Governance,derived,"macrophage, neutrophil, dendritic cell"
N006,6,LBN-006,NK Cell Tumor Surveillance Network,Immune Surveillance,A2,Immune Homeostasis,0.33,,D1,Immune–Infection Governance,derived,การกำจัดเซลล์ผิดปกติและเซลล์มะเร็ง
N007,7,LBN-007,Adaptive Immune Coordination Network,Immune Balance,A2,Immune Homeostasis,0.33,,D1,Immune–Infection Governance,derived,"T cell, B cell, antibody response"
N008,8,LBN-008,Treg–Th17 Balance Network,Immune Balance,A2,Immune Homeostasis,0.33,,D1,Immune–Infection Governance,derived,สมดุลภูมิคุ้มกันกับภูมิแพ้/ออโตอิมมูน
N009,9,LBN-009,Inflammation Resolution Network,Resolution,,,0.0,,,,derived,การปิดการอักเสบและกลับสู่สมดุล
N010,10,LBN-010,NLRP3 Inflammasome Network,Inflammasome,,,0.0,,,,derived,"sterile inflammation, IL-1β, IL-18"
N011,11,LBN-011,Antiviral Interferon Network,Infection Defense,A3,Pathogen Defense,0.33,,D1,Immune–Infection Governance,derived,"interferon signaling, viral defense"
N012,12,LBN-012,Antibacterial Defense Network,Infection Defense,A3,Pathogen Defense,0.33,,D1,Immune–Infection Governance,derived,"phagocytosis, antimicrobial peptides"
N013,13,LBN-013,ROS Regulation Network,ROS/RNS Load,A1,Systemic Inflammatory Load,0.2,,D1,Immune–Infection Governance,derived,ควบคุม ROS ไม่ให้เกินสมดุล
N014,14,LBN-014,Lipid Peroxidation Network,Oxidative Damage,A9,Oxidative Stress & Redox Balance,0.2,,D2,Metabolic–Energy Core,derived,"MDA, 4-HNE, membrane damage"
N015,15,LBN-015,Nrf2 Antioxidant Response Network,Antioxidant Defense,A3,Pathogen Defense,0.33,,D1,Immune–Infection Governance,derived,เปิดระบบป้องกันเซลล์
N016,16,LBN-016,Glutathione Defense Network,Antioxidant Defense,A3,Pathogen Defense,0.33,,D1,Immune–Infection Governance,derived,"GSH, GPx, detox redox balance"
N017,17,LBN-017,Insulin Signaling Network,Glucose–Insulin Regulation,A5,Glucose–Insulin Regulation,1.0,,D2,Metabolic–Energy Core,derived,insulin receptor–AKT–GLUT
N018,18,LBN-018,Glucose Utilization Network,Glucose–Insulin Regulation,A5,Glucose–Insulin Regulation,1.0,,D2,Metabolic–Energy Core,derived,การนำ glucose เข้าเซลล์และใช้พลังงาน
N019,19,LBN-019,Hepatic Glucose Output Network,Hepatic Glucose Control,A5,Glucose–Insulin Regulation,0.2,,D2,Metabolic–Energy Core,derived,"gluconeogenesis, glycogen regulation"
N020,20,LBN-020,Glucose Variability Control Network,Glycemic Stability,A11,DNA Repair & Genomic Stability,0.2,,D3,Genomic Programming,derived,ควบคุมระดับน้ำตาลไม่ให้แกว่ง
N021,21,LBN-021,Lipid Transport Network,Lipid–Lipotoxicity,A6,Lipid–Lipotoxicity,1.0,,D2,Metabolic–Energy Core,derived,"LDL, HDL, TG, lipoprotein balance"
N022,22,LBN-022,Ectopic Fat Accumulation Network,Lipid–Lipotoxicity,A6,Lipid–Lipotoxicity,1.0,,D2,Metabolic–Energy Core,derived,ไขมันพอกตับ ไขมันในอวัยวะ
N023,23,LBN-023,Lipotoxic Injury Network,Lipid–Lipotoxicity,A6,Lipid–Lipotoxicity,1.0,,D2,Metabolic–Energy Core,derived,"ceramide, DAG, cellular toxicity"
N024,24,LBN-024,Beta-Oxidation Network,Fatty Acid Oxidation,,,0.0,,,,derived,เผาผลาญกรดไขมันใน mitochondria
N025,25,LBN-025,AMPK Energy Sensing Network,Nutrient Sensing,A7,Nutrient Sensing,1.0,,D2,Metabolic–Energy Core,derived,"low energy sensing, catabolic switch"
N026,26,LBN-026,mTOR Growth Signaling Network,Nutrient Sensing,A7,Nutrient Sensing,1.0,,D2,Metabolic–Energy Core,derived,"growth, protein synthesis, anabolic state"
N027,27,LBN-027,AMPK–mTOR Balance Network,Nutrient Sensing,A7,Nutrient Sensing,1.0,,D2,Metabolic–Energy Core,derived,ตัดสินใจ growth vs repair
N028,28,LBN-028,Mitochondrial ATP Production Network,Mitochondrial Network,A8,Mitochondrial Network,1.0,,D2,Metabolic–Energy Core,derived,"ETC, oxidative phosphorylation"
N029,29,LBN-029,Mitochondrial Quality Control Network,Mitochondrial Network,A8,Mitochondrial Network,1.0,,D2,Metabolic–Energy Core,derived,"mitophagy, fusion–fission"
N030,30,LBN-030,Mitochondrial Biogenesis Network,Mitochondrial Network,A8,Mitochondrial Network,1.0,,D2,Metabolic–Energy Core,derived,สร้าง mitochondria ใหม่
N031,31,LBN-031,Mitochondrial ROS Signaling Network,Redox–Energy Coupling,A9,Oxidative Stress & Redox Balance,0.17,,D2,Metabolic–Energy Core,derived,ROS ในฐานะ signal และ damage
N032,32,LBN-032,Fuel Switching Network,Metabolic Flexibility,,,0.0,,,,derived,glucose ↔ fat ↔ ketone
N033,33,LBN-033,Phase I Detoxification Network,Detoxification,A15,Detoxification Capacity,0.5,,D4,Detoxification & Cellular Defense,derived,CYP450 biotransformation
N034,34,LBN-034,Phase II Conjugation Network,Detoxification,A15,Detoxification Capacity,0.5,,D4,Detoxification & Cellular Defense,derived,"glucuronidation, sulfation, methylation"
N035,35,LBN-035,Phase III Transport Network,Detoxification,A15,Detoxification Capacity,0.5,,D4,Detoxification & Cellular Defense,derived,"efflux transport, bile/urine excretion"
N036,36,LBN-036,Xenobiotic Clearance Network,Detoxification,A15,Detoxification Capacity,0.5,,D4,Detoxification & Cellular Defense,derived,ยา สารเคมี โลหะหนัก สารพิษ
N037,37,LBN-037,Microbiome Diversity Network,Gut Ecosystem,A18,Gut Barrier & Mucosal Integrity,0.2,,D5,Digestive–Gut Ecosystem,derived,"microbial richness, ecosystem balance"
N038,38,LBN-038,Keystone Microbe Network,Gut Ecosystem,A18,Gut Barrier & Mucosal Integrity,0.2,,D5,Digestive–Gut Ecosystem,derived,"Akkermansia, Bifidobacterium ฯลฯ"
N039,39,LBN-039,SCFA Production Network,Microbial Metabolites,,,0.0,,,,derived,"butyrate, acetate, propionate"
N040,40,LBN-040,Intestinal Barrier Integrity Network,Gut Barrier,A18,Gut Barrier & Mucosal Integrity,0.5,,D5,Digestive–Gut Ecosystem,derived,"tight junction, leaky gut, LPS"
N041,41,LBN-041,Mucosal Barrier Network,Gut Barrier,A18,Gut Barrier & Mucosal Integrity,0.5,,D5,Digestive–Gut Ecosystem,derived,เยื่อบุลำไส้ ทางเดินหายใจ ช่องปาก ผิวหนัง และเยื่อบุทั้งหมดที่ทำหน้าที่เป็นด่านป้องกัน
N042,42,LBN-042,LPS–TLR4 Activation Network,Endotoxin Load,A1,Systemic Inflammatory Load,0.25,,D1,Immune–Infection Governance,derived,การรั่วของ LPS จากลำไส้ กระตุ้น TLR4 → NF-κB → inflammation
N043,43,LBN-043,Bile Acid–Microbiome Network,Microbial Metabolites,,,0.0,,,,derived,"การเปลี่ยนแปลง bile acid โดยจุลินทรีย์ ส่งผลต่อ FXR, TGR5, ตับ และเมตาบอลิซึม"
N044,44,LBN-044,Gut–Liver Axis Network,Gut–Organ Axis,A18,Gut Barrier & Mucosal Integrity,0.17,,D5,Digestive–Gut Ecosystem,derived,"microbiome, LPS, bile acid, portal circulation เชื่อมลำไส้กับตับ"
N045,45,LBN-045,Gut–Brain Axis Network,Gut–Organ Axis,A18,Gut Barrier & Mucosal Integrity,0.17,,D5,Digestive–Gut Ecosystem,derived,"microbiome กระทบสมองผ่าน vagus nerve, cytokines, tryptophan, SCFA"
N046,46,LBN-046,Gut–Immune Axis Network,Gut–Organ Axis,A18,Gut Barrier & Mucosal Integrity,0.17,,D5,Digestive–Gut Ecosystem,derived,"microbiome ฝึกภูมิคุ้มกัน ควบคุม Treg, Th17, tolerance และ inflammation"
N047,47,LBN-047,DNA Damage Surveillance Network,DNA Integrity,A30,Connective Tissue Integrity,0.25,,D8,Musculoskeletal & Structural Integrity,derived,"ตรวจจับ DNA damage ผ่าน ATM, ATR, p53, checkpoint ก่อนเกิด mutation"
N048,48,LBN-048,Base Excision Repair Network,DNA Repair,A11,DNA Repair & Genomic Stability,0.5,,D3,Genomic Programming,derived,ซ่อม DNA damage จาก oxidative stress เช่น 8-OHdG และ base lesions
N049,49,LBN-049,Nucleotide Excision Repair Network,DNA Repair,A11,DNA Repair & Genomic Stability,0.5,,D3,Genomic Programming,derived,"ซ่อม bulky DNA adducts, UV damage, chemical-induced DNA lesions"
