biological_axis_label,networks_using_label,auto_mapped_axis_code,suggested_axis_code,suggested_axis_name,suggestion_confidence,CONFIRM_axis_code,status,example_networks
Detoxification,4,,A15,Detoxification Capacity,0.5,,NEEDS_REVIEW,N033 Phase I Detoxification Network | N034 Phase II Conjugation Network
DNA Repair,3,,A11,DNA Repair & Genomic Stability,0.5,,NEEDS_REVIEW,N048 Base Excision Repair Network | N049 Nucleotide Excision Repair Network
Epigenetics,3,,,,0.0,,NEEDS_REVIEW,N053 DNA Methylation Programming Network | N054 Histone Modification Network
Gut–Organ Axis,3,,A18,Gut Barrier & Mucosal Integrity,0.17,,NEEDS_REVIEW,N044 Gut–Liver Axis Network | N045 Gut–Brain Axis Network
Hemostasis,3,,A22,Thrombosis–Hemostasis,0.5,,NEEDS_REVIEW,N087 Platelet Activation Network | N088 Coagulation Cascade Network
Immune Surveillance,3,,A2,Immune Homeostasis,0.33,,NEEDS_REVIEW,N005 Innate Immune Surveillance Network | N006 NK Cell Tumor Surveillance Network
Lipid–Lipotoxicity,3,A6,A6,,1.0,A6,AUTO_MATCHED,N021 Lipid Transport Network | N022 Ectopic Fat Accumulation Network
Mitochondrial Network,3,A8,A8,,1.0,A8,AUTO_MATCHED,N028 Mitochondrial ATP Production Network | N029 Mitochondrial Quality Control Network
Nutrient Sensing,3,A7,A7,,1.0,A7,AUTO_MATCHED,N025 AMPK Energy Sensing Network | N026 mTOR Growth Signaling Network
Acute–Chronic Inflammation,2,,,,0.0,,NEEDS_REVIEW,N003 Acute Inflammatory Response Network | N004 Chronic Low-Grade Inflammation Network
Angiogenesis,2,,,,0.0,,NEEDS_REVIEW,N076 Angiogenesis Repair Network | N085 Physiological Angiogenesis Network
Antioxidant Defense,2,,A3,Pathogen Defense,0.33,,NEEDS_REVIEW,N015 Nrf2 Antioxidant Response Network | N016 Glutathione Defense Network
Autonomic Balance,2,,A9,Oxidative Stress & Redox Balance,0.2,,NEEDS_REVIEW,N101 Sympathetic Regulation Network | N102 Parasympathetic Regulation Network
Autophagy,2,,A10,Proteostasis–Autophagy–Lysosome,0.33,,NEEDS_REVIEW,N067 Autophagy Initiation Network | N068 Autophagy Flux Network
Blood Pressure,2,,,,0.0,,NEEDS_REVIEW,N091 RAAS Regulation Network | N092 Vascular Tone Network
Cardiac Function,2,,A20,Endothelial Function,0.33,,NEEDS_REVIEW,N094 Cardiac Contractility Network | N095 Cardiac Electrophysiology Network
Cardio–Renal Axis,2,,A33,Thyroid–Adrenal–Growth Axis,0.17,,NEEDS_REVIEW,N098 Cardio–Renal Integration Network | N130 Cardio–Renal Integration Network
Endothelial Function,2,A20,A20,,1.0,A20,AUTO_MATCHED,N081 Endothelial Integrity Network | N082 Nitric Oxide Signaling Network
Female Reproductive Function,2,,A20,Endothelial Function,0.25,,NEEDS_REVIEW,N172 Ovarian Function Network | N173 Endometrial Cycling Network
Gene Expression,2,,,,0.0,,NEEDS_REVIEW,N057 Transcription Factor Network | N058 Gene Expression Coordination Network
Glucose–Insulin Regulation,2,A5,A5,,1.0,A5,AUTO_MATCHED,N017 Insulin Signaling Network | N018 Glucose Utilization Network
Gut Barrier,2,,A18,Gut Barrier & Mucosal Integrity,0.5,,NEEDS_REVIEW,N040 Intestinal Barrier Integrity Network | N041 Mucosal Barrier Network
Gut Ecosystem,2,,A18,Gut Barrier & Mucosal Integrity,0.2,,NEEDS_REVIEW,N037 Microbiome Diversity Network | N038 Keystone Microbe Network
Immune Balance,2,,A2,Immune Homeostasis,0.33,,NEEDS_REVIEW,N007 Adaptive Immune Coordination Network | N008 Treg–Th17 Balance Network
Infection Defense,2,,A3,Pathogen Defense,0.33,,NEEDS_REVIEW,N011 Antiviral Interferon Network | N012 Antibacterial Defense Network
Male Reproductive Function,2,,A20,Endothelial Function,0.25,,NEEDS_REVIEW,N174 Testicular Function Network | N175 Prostate Homeostasis Network
Microbial Metabolites,2,,,,0.0,,NEEDS_REVIEW,N039 SCFA Production Network | N043 Bile Acid–Microbiome Network
Stress Response,2,,A27,Glycation / Carbonyl Stress,0.25,,NEEDS_REVIEW,N104 HPA Axis Network | N105 Catecholamine Response Network
Systemic Inflammatory Load,2,A1,A1,,1.0,A1,AUTO_MATCHED,N001 NF-κB Inflammatory Switch Network | N002 Cytokine Burden Network
AGE Biology,1,,,,0.0,,NEEDS_REVIEW,N161 AGE Formation Network
Acid–Base Balance,1,,A9,Oxidative Stress & Redox Balance,0.17,,NEEDS_REVIEW,N128 Acid–Base Homeostasis Network
Apoptosis,1,,,,0.0,,NEEDS_REVIEW,N153 Apoptosis Execution Network
Arterial Elasticity,1,,A23,Hemodynamics & Arterial Elasticity,0.67,,NEEDS_REVIEW,N093 Arterial Compliance Network
Auditory System,1,,,,0.0,,NEEDS_REVIEW,N169 Auditory Processing Network
Bile Dynamics,1,,A38,Tumor Microenvironment & Metastatic Dynamics,0.2,,NEEDS_REVIEW,N125 Bile Flow Regulation Network
Biological Aging,1,,,,0.0,,NEEDS_REVIEW,N066 Biological Age Regulation Network
Bone Remodeling,1,A29,A29,,1.0,A29,AUTO_MATCHED,N143 Bone Remodeling Network
Brain Clearance,1,,A34,Neuro–Sleep–Stress–Brain Clearance,0.4,,NEEDS_REVIEW,N112 Glymphatic Clearance Network
Brain Energy,1,,A34,Neuro–Sleep–Stress–Brain Clearance,0.17,,NEEDS_REVIEW,N111 Brain Energy Metabolism Network
CELA,1,,,,0.0,,NEEDS_REVIEW,N120 Cognitive–Emotional Loop Architecture (CELA) Network
Cancer Metabolism,1,,,,0.0,,NEEDS_REVIEW,N158 Cancer Metabolic Reprogramming Network
Cancer Stemness,1,,,,0.0,,NEEDS_REVIEW,N154 Cancer Stem Cell Network
Carbonyl Stress,1,,A27,Glycation / Carbonyl Stress,0.67,,NEEDS_REVIEW,N162 Carbonyl Stress Network
Cardiac Energy,1,,,,0.0,,NEEDS_REVIEW,N096 Cardiac Bioenergetics Network
Cardiac Remodeling,1,,A29,Bone Remodeling,0.33,,NEEDS_REVIEW,N097 Cardiac Stress Adaptation Network
Cardio–Pulmonary Axis,1,,A33,Thyroid–Adrenal–Growth Axis,0.17,,NEEDS_REVIEW,N099 Cardio–Pulmonary Integration Network
Cardio–Pulmonary Integration,1,,,,0.0,,NEEDS_REVIEW,N140 Cardio–Pulmonary Oxygen Delivery Network
Cartilage Matrix,1,,,,0.0,,NEEDS_REVIEW,N145 Cartilage Matrix Network
Cell Cycle Control,1,,A26,Stem Cell & Hematopoiesis,0.2,,NEEDS_REVIEW,N151 Cell Cycle Control Network
Cellular Identity,1,,,,0.0,,NEEDS_REVIEW,N060 Cellular Identity Maintenance Network
Circadian Biology,1,,,,0.0,,NEEDS_REVIEW,N109 Circadian Synchronization Network
Circadian Genomics,1,,,,0.0,,NEEDS_REVIEW,N059 Circadian Gene Regulation Network
DNA Integrity,1,,A30,Connective Tissue Integrity,0.25,,NEEDS_REVIEW,N047 DNA Damage Surveillance Network
ECM Remodeling,1,,A25,Fibrosis & ECM Remodeling,0.67,,NEEDS_REVIEW,N077 Extracellular Matrix Remodeling Network
EMT–Metastasis,1,,,,0.0,,NEEDS_REVIEW,N159 EMT & Metastatic Dissemination Network
ER Stress,1,,A27,Glycation / Carbonyl Stress,0.25,,NEEDS_REVIEW,N072 ER Stress–UPR Network
Emotional Regulation,1,,A12,Epigenetic Regulation,0.33,,NEEDS_REVIEW,N118 Limbic Balance Network
Endotoxin Load,1,,A1,Systemic Inflammatory Load,0.25,,NEEDS_REVIEW,N042 LPS–TLR4 Activation Network
Enteric Nervous System,1,,,,0.0,,NEEDS_REVIEW,N133 Enteric Nervous System Network
Erythropoiesis,1,,,,0.0,,NEEDS_REVIEW,N165 Red Blood Cell Production Network
Evolution–Resistance,1,,,,0.0,,NEEDS_REVIEW,N160 Cancer Evolution & Resistance Network
Executive Function,1,,A20,Endothelial Function,0.33,,NEEDS_REVIEW,N117 Cognitive Control Network
FOXO Pathway,1,,,,0.0,,NEEDS_REVIEW,N062 FOXO Adaptive Survival Network
Fascia–Mechanics,1,,,,0.0,,NEEDS_REVIEW,N148 Fascial Communication Network
Fatty Acid Oxidation,1,,,,0.0,,NEEDS_REVIEW,N024 Beta-Oxidation Network
