network_number,domain,biological_axis,living_biological_network_system,scope
1,Immune,Systemic Inflammatory Load,NF-κB Inflammatory Switch Network,ควบคุมการเปิดสัญญาณอักเสบหลัก
2,Immune,Systemic Inflammatory Load,Cytokine Burden Network,"IL-6, TNF-α, IL-1β, CRP"
3,Immune,Acute–Chronic Inflammation,Acute Inflammatory Response Network,การอักเสบเฉียบพลันเพื่อป้องกันภัย
4,Immune,Acute–Chronic Inflammation,Chronic Low-Grade Inflammation Network,การอักเสบเรื้อรังระดับต่ำ
5,Immune,Immune Surveillance,Innate Immune Surveillance Network,"macrophage, neutrophil, dendritic cell"
6,Immune,Immune Surveillance,NK Cell Tumor Surveillance Network,การกำจัดเซลล์ผิดปกติและเซลล์มะเร็ง
7,Immune,Immune Balance,Adaptive Immune Coordination Network,"T cell, B cell, antibody response"
8,Immune,Immune Balance,Treg–Th17 Balance Network,สมดุลภูมิคุ้มกันกับภูมิแพ้/ออโตอิมมูน
9,Inflammation,Resolution,Inflammation Resolution Network,การปิดการอักเสบและกลับสู่สมดุล
10,Inflammation,Inflammasome,NLRP3 Inflammasome Network,"sterile inflammation, IL-1β, IL-18"
11,Inflammation,Infection Defense,Antiviral Interferon Network,"interferon signaling, viral defense"
12,Inflammation,Infection Defense,Antibacterial Defense Network,"phagocytosis, antimicrobial peptides"
13,Oxidative Stress,ROS/RNS Load,ROS Regulation Network,ควบคุม ROS ไม่ให้เกินสมดุล
14,Oxidative Stress,Oxidative Damage,Lipid Peroxidation Network,"MDA, 4-HNE, membrane damage"
15,Oxidative Stress,Antioxidant Defense,Nrf2 Antioxidant Response Network,เปิดระบบป้องกันเซลล์
16,Oxidative Stress,Antioxidant Defense,Glutathione Defense Network,"GSH, GPx, detox redox balance"
17,Energy,Glucose–Insulin Regulation,Insulin Signaling Network,insulin receptor–AKT–GLUT
18,Energy,Glucose–Insulin Regulation,Glucose Utilization Network,การนำ glucose เข้าเซลล์และใช้พลังงาน
19,Energy,Hepatic Glucose Control,Hepatic Glucose Output Network,"gluconeogenesis, glycogen regulation"
20,Energy,Glycemic Stability,Glucose Variability Control Network,ควบคุมระดับน้ำตาลไม่ให้แกว่ง
21,Energy,Lipid–Lipotoxicity,Lipid Transport Network,"LDL, HDL, TG, lipoprotein balance"
22,Energy,Lipid–Lipotoxicity,Ectopic Fat Accumulation Network,ไขมันพอกตับ ไขมันในอวัยวะ
23,Energy,Lipid–Lipotoxicity,Lipotoxic Injury Network,"ceramide, DAG, cellular toxicity"
24,Energy,Fatty Acid Oxidation,Beta-Oxidation Network,เผาผลาญกรดไขมันใน mitochondria
25,Energy,Nutrient Sensing,AMPK Energy Sensing Network,"low energy sensing, catabolic switch"
26,Energy,Nutrient Sensing,mTOR Growth Signaling Network,"growth, protein synthesis, anabolic state"
27,Energy,Nutrient Sensing,AMPK–mTOR Balance Network,ตัดสินใจ growth vs repair
28,Energy,Mitochondrial Network,Mitochondrial ATP Production Network,"ETC, oxidative phosphorylation"
29,Energy,Mitochondrial Network,Mitochondrial Quality Control Network,"mitophagy, fusion–fission"
30,Energy,Mitochondrial Network,Mitochondrial Biogenesis Network,สร้าง mitochondria ใหม่
31,Energy,Redox–Energy Coupling,Mitochondrial ROS Signaling Network,ROS ในฐานะ signal และ damage
32,Energy,Metabolic Flexibility,Fuel Switching Network,glucose ↔ fat ↔ ketone
33,Gut,Detoxification,Phase I Detoxification Network,CYP450 biotransformation
34,Gut,Detoxification,Phase II Conjugation Network,"glucuronidation, sulfation, methylation"
35,Gut,Detoxification,Phase III Transport Network,"efflux transport, bile/urine excretion"
36,Gut,Detoxification,Xenobiotic Clearance Network,ยา สารเคมี โลหะหนัก สารพิษ
37,Gut,Gut Ecosystem,Microbiome Diversity Network,"microbial richness, ecosystem balance"
38,Gut,Gut Ecosystem,Keystone Microbe Network,"Akkermansia, Bifidobacterium ฯลฯ"
39,Gut,Microbial Metabolites,SCFA Production Network,"butyrate, acetate, propionate"
40,Gut,Gut Barrier,Intestinal Barrier Integrity Network,"tight junction, leaky gut, LPS"
41,Gut–Microbiome,Gut Barrier,Mucosal Barrier Network,เยื่อบุลำไส้ ทางเดินหายใจ ช่องปาก ผิวหนัง และเยื่อบุทั้งหมดที่ทำหน้าที่เป็นด่านป้องกัน
42,Gut–Microbiome,Endotoxin Load,LPS–TLR4 Activation Network,การรั่วของ LPS จากลำไส้ กระตุ้น TLR4 → NF-κB → inflammation
43,Gut–Microbiome,Microbial Metabolites,Bile Acid–Microbiome Network,"การเปลี่ยนแปลง bile acid โดยจุลินทรีย์ ส่งผลต่อ FXR, TGR5, ตับ และเมตาบอลิซึม"
44,Gut–Microbiome,Gut–Organ Axis,Gut–Liver Axis Network,"microbiome, LPS, bile acid, portal circulation เชื่อมลำไส้กับตับ"
45,Gut–Microbiome,Gut–Organ Axis,Gut–Brain Axis Network,"microbiome กระทบสมองผ่าน vagus nerve, cytokines, tryptophan, SCFA"
46,Gut–Microbiome,Gut–Organ Axis,Gut–Immune Axis Network,"microbiome ฝึกภูมิคุ้มกัน ควบคุม Treg, Th17, tolerance และ inflammation"
47,Genomic,DNA Integrity,DNA Damage Surveillance Network,"ตรวจจับ DNA damage ผ่าน ATM, ATR, p53, checkpoint ก่อนเกิด mutation"
48,Genomic,DNA Repair,Base Excision Repair Network,ซ่อม DNA damage จาก oxidative stress เช่น 8-OHdG และ base lesions
